URL,Pageviews,Unique_Pageviews,Avg_Time_on_Page,Entrances,Bounce_Rate,%_Exit,OBJECTID
/opendata.dc.gov/datasets/dd589772125d4ce29ae3022d099f5c8e_79,414,283,0:01:43,57,5.45%,16.67%,205
/opendata.dc.gov/datasets/f2e1c2ef9eb44f2899f4a310a80ecec9_2,414,231,0:00:31,59,12.70%,9.18%,206
/opendata.dc.gov/datasets?page=4,413,327,0:00:29,5,0.00%,3.39%,207
/opendata.dc.gov/datasets/99d13287b85240b89bd46b2aa89e1acf_3,413,395,0:03:19,378,93.39%,88.62%,208
/opendata.dc.gov/datasets?q=wmata,412,209,0:00:12,97,1.03%,6.31%,209
/opendata.dc.gov/datasets/f43fc2b0ad40448aae77a08d4ec3ccf5_2,410,212,0:00:30,87,13.79%,16.34%,210
/opendata.dc.gov/datasets/f61f962c2ce84f2caa1919d425c8061d_0,406,202,0:01:36,120,23.97%,25.12%,211
/opendata.dc.gov/datasets?t=district of columbia,403,315,0:00:20,2,0.00%,6.70%,212
/opendata.dc.gov/datasets/32086b32416f4e7dbcbbf0c9a67b8b34_58,401,216,0:00:58,47,12.73%,8.48%,213
/opendata.dc.gov/datasets?q=building+permits&sort_by=relevance,396,196,0:00:22,139,2.05%,3.28%,214
/opendata.dc.gov/datasets?q=DDOT,395,187,0:00:13,108,1.77%,5.06%,215
/opendata.dc.gov/datasets/78a3020cd608421db33115013de83c68_2,395,194,0:00:40,135,5.88%,11.39%,216
/opendata.dc.gov/datasets/zoning-regulations-of-2016,394,288,0:01:57,17,38.89%,19.29%,217
/opendata.dc.gov/datasets?q=elevation,393,298,0:01:56,12,27.27%,23.41%,218
/opendata.dc.gov/datasets/1c5d4b467eaa4301b976547c65cd7d06_24,393,201,0:00:29,101,13.46%,11.70%,219
/opendata.dc.gov/datasets/3031b2c72a4942bb86356e921e73e8c3_38,393,199,0:00:50,22,0.00%,4.83%,220
/opendata.dc.gov/datasets/building-permits-in-2016,393,270,0:01:16,32,8.57%,16.03%,221
/opendata.dc.gov/datasets/2347fa1f3fd9412dbf11aa6441ddca8b_83,390,220,0:00:53,36,13.89%,10.26%,222
/opendata.dc.gov/datasets?page=2&q=economic,388,279,0:00:27,1,100.00%,3.35%,223
/opendata.dc.gov/datasets?keyword=jun2016,385,174,0:00:08,29,0.00%,0.78%,224
/opendata.dc.gov/datasets/metro-bus-lines,385,318,0:01:58,17,28.57%,23.38%,225
/opendata.dc.gov/datasets/82ab09c9541b4eb8ba4b537e131998ce_22,383,190,0:00:24,52,1.52%,3.66%,226
/opendata.dc.gov/datasets/best-management-practices,383,306,0:03:19,46,19.57%,26.89%,227
/opendata.dc.gov/datasets/b78d164649ad487db0f2b20a9261fb8c_17,380,205,0:01:17,57,15.25%,11.58%,228
/opendata.dc.gov/datasets/e8c2b7ef54fb43d9a2ed1b0b75d0a14d_4,380,207,0:00:20,49,7.84%,8.42%,229
/opendata.dc.gov/datasets/real-property-tax-assessment-neighborhoods,379,255,0:00:55,9,20.00%,8.71%,230
/opendata.dc.gov/datasets/018890d7399245759f05c7932261ef44_7,378,201,0:00:39,45,4.44%,7.41%,231
/opendata.dc.gov/datasets/87c5e68942304363a4578b30853f385d_25,378,213,0:00:32,64,9.09%,10.58%,232
/opendata.dc.gov/datasets/a6f76663621548e1a039798784b64f10_0,378,225,0:01:09,46,19.23%,14.29%,233
/opendata.dc.gov/datasets?q=hospitals,376,255,0:00:16,39,0.00%,3.46%,234
/opendata.dc.gov/datasets?page=3&q=public safety,374,296,0:00:40,3,0.00%,8.02%,235
/opendata.dc.gov/datasets?q=UFA,374,183,0:00:08,171,3.47%,6.68%,236
/opendata.dc.gov/datasets/981c105beef74af38cc4090992661264_25,374,165,0:00:08,41,0.00%,1.60%,237
/opendata.dc.gov/datasets/points-of-interest,374,273,0:01:20,15,25.00%,14.17%,238
/opendata.dc.gov/datasets/public-safety-survey-from-2017,374,243,0:01:21,23,30.43%,15.51%,239
/opendata.dc.gov/datasets/neighborhood-labels-as-centroids,372,270,0:01:41,73,24.00%,23.66%,240
/opendata.dc.gov/datasets?q=tree,371,243,0:00:26,13,12.50%,4.58%,241
/opendata.dc.gov/datasets/92842dceac234b9ca1a8266fcfd57de7_21?uiTab=table,368,210,0:00:19,8,20.00%,8.15%,242
/opendata.dc.gov/datasets?page=3&q=demographic,367,270,0:00:33,6,33.33%,5.72%,243
/opendata.dc.gov/datasets?q=wards,367,290,0:00:32,13,50.00%,1.91%,244
/opendata.dc.gov/datasets?q=service requests,366,244,0:00:35,14,22.22%,3.01%,245
/opendata.dc.gov/datasets/campaign-financial-contributions,366,255,0:01:36,83,26.14%,21.04%,246
/opendata.dc.gov/datasets/city-service-requests-in-2016,366,265,0:02:00,19,33.33%,19.95%,247
/opendata.dc.gov/datasets/77efead979d348949a8764b5ca6fc5b2_2,365,227,0:01:27,39,11.43%,13.70%,248
/opendata.dc.gov/datasets?page=3&q=property,364,283,0:00:38,2,0.00%,4.12%,249
/opendata.dc.gov/datasets/6eaf3e9713de44d3aa103622d51053b5_9,362,203,0:01:12,43,11.11%,12.15%,250
/opendata.dc.gov/datasets?q=parking,361,269,0:00:39,17,8.33%,3.88%,251
/opendata.dc.gov/datasets/purchase-orders-in-2017,361,253,0:01:38,36,22.22%,15.24%,252
